onset	duration	sample	type	value
212	n/a	108545	STATUS	61471
212.734375	n/a	108921	STATUS	61472
213.0078125	n/a	109061	STATUS	61480
214.017578125	n/a	109578	STATUS	61490
215.134765625	n/a	110150	STATUS	61500
215.701171875	n/a	110440	STATUS	61510
215.951171875	n/a	110568	STATUS	61450
217.451171875	n/a	111336	STATUS	61468
217.81640625	n/a	111523	STATUS	61471
218.55078125	n/a	111899	STATUS	61472
218.826171875	n/a	112040	STATUS	61480
219.833984375	n/a	112556	STATUS	61490
221.109375	n/a	113209	STATUS	61501
221.708984375	n/a	113516	STATUS	61510
221.958984375	n/a	113644	STATUS	61450
223.458984375	n/a	114412	STATUS	61463
223.826171875	n/a	114600	STATUS	61471
224.1015625	n/a	114741	STATUS	61472
224.833984375	n/a	115116	STATUS	61480
225.84375	n/a	115633	STATUS	61490
226.951171875	n/a	116200	STATUS	61500
227.484375	n/a	116473	STATUS	61510
227.734375	n/a	116601	STATUS	61450
229.234375	n/a	117369	STATUS	61463
229.6015625	n/a	117557	STATUS	61471
229.876953125	n/a	117698	STATUS	61472
230.609375	n/a	118073	STATUS	61480
231.619140625	n/a	118590	STATUS	61490
232.685546875	n/a	119136	STATUS	61501
233.3515625	n/a	119477	STATUS	61510
233.6015625	n/a	119605	STATUS	61450
235.1015625	n/a	120373	STATUS	61463
235.46875	n/a	120561	STATUS	61471
235.744140625	n/a	120702	STATUS	61472
236.4765625	n/a	121077	STATUS	61480
237.486328125	n/a	121594	STATUS	61490
238.509765625	n/a	122118	STATUS	61500
239.986328125	n/a	122874	STATUS	61511
248.986328125	n/a	127482	STATUS	61694
250.486328125	n/a	128250	STATUS	61450
251.986328125	n/a	129018	STATUS	61463
252.353515625	n/a	129206	STATUS	61471
252.62890625	n/a	129347	STATUS	61472
253.361328125	n/a	129722	STATUS	61480
254.37109375	n/a	130239	STATUS	61490
255.8203125	n/a	130981	STATUS	61501
256.578125	n/a	131369	STATUS	61511
256.828125	n/a	131497	STATUS	61450
258.328125	n/a	132265	STATUS	61463
258.6953125	n/a	132453	STATUS	61471
258.970703125	n/a	132594	STATUS	61472
259.703125	n/a	132969	STATUS	61480
260.712890625	n/a	133486	STATUS	61490
261.9453125	n/a	134117	STATUS	61500
262.61328125	n/a	134459	STATUS	61510
262.86328125	n/a	134587	STATUS	61450
264.36328125	n/a	135355	STATUS	61463
264.728515625	n/a	135542	STATUS	61471
265.00390625	n/a	135683	STATUS	61472
265.73828125	n/a	136059	STATUS	61480
266.74609375	n/a	136575	STATUS	61490
267.763671875	n/a	137096	STATUS	61500
268.396484375	n/a	137420	STATUS	61511
268.646484375	n/a	137548	STATUS	61450
270.146484375	n/a	138316	STATUS	61463
270.513671875	n/a	138504	STATUS	61471
270.787109375	n/a	138644	STATUS	61472
271.521484375	n/a	139020	STATUS	61480
272.529296875	n/a	139536	STATUS	61490
274.095703125	n/a	140338	STATUS	61500
274.763671875	n/a	140680	STATUS	61510
275.013671875	n/a	140808	STATUS	61450
276.513671875	n/a	141576	STATUS	61463
276.880859375	n/a	141764	STATUS	61471
277.154296875	n/a	141904	STATUS	61472
277.888671875	n/a	142280	STATUS	61480
278.896484375	n/a	142796	STATUS	61490
280.11328125	n/a	143419	STATUS	61500
280.888671875	n/a	143816	STATUS	61511
281.138671875	n/a	143944	STATUS	61450
282.638671875	n/a	144712	STATUS	61468
283.005859375	n/a	144900	STATUS	61471
283.73828125	n/a	145275	STATUS	61472
284.013671875	n/a	145416	STATUS	61480
285.0234375	n/a	145933	STATUS	61490
286.1484375	n/a	146509	STATUS	61500
286.78125	n/a	146833	STATUS	61511
287.03125	n/a	146961	STATUS	61450
288.53125	n/a	147729	STATUS	61468
288.8984375	n/a	147917	STATUS	61471
289.630859375	n/a	148292	STATUS	61472
289.90625	n/a	148433	STATUS	61480
290.9140625	n/a	148949	STATUS	61490
291.998046875	n/a	149504	STATUS	61501
292.740234375	n/a	149884	STATUS	61511
292.990234375	n/a	150012	STATUS	61450
294.490234375	n/a	150780	STATUS	61463
294.857421875	n/a	150968	STATUS	61471
295.130859375	n/a	151108	STATUS	61472
295.865234375	n/a	151484	STATUS	61480
296.873046875	n/a	152000	STATUS	61490
297.83984375	n/a	152495	STATUS	61501
298.373046875	n/a	152768	STATUS	61510
298.623046875	n/a	152896	STATUS	61450
300.123046875	n/a	153664	STATUS	61463
300.490234375	n/a	153852	STATUS	61471
300.765625	n/a	153993	STATUS	61472
301.498046875	n/a	154368	STATUS	61480
302.5078125	n/a	154885	STATUS	61490
303.666015625	n/a	155478	STATUS	61501
304.21484375	n/a	155759	STATUS	61510
304.46484375	n/a	155887	STATUS	61450
305.96484375	n/a	156655	STATUS	61468
306.33203125	n/a	156843	STATUS	61471
307.06640625	n/a	157219	STATUS	61472
307.341796875	n/a	157360	STATUS	61480
308.349609375	n/a	157876	STATUS	61490
309.390625	n/a	158409	STATUS	61501
310.291015625	n/a	158870	STATUS	61511
310.541015625	n/a	158998	STATUS	61450
312.041015625	n/a	159766	STATUS	61463
312.408203125	n/a	159954	STATUS	61471
312.68359375	n/a	160095	STATUS	61472
313.416015625	n/a	160470	STATUS	61480
314.423828125	n/a	160986	STATUS	61490
315.44140625	n/a	161507	STATUS	61500
315.900390625	n/a	161742	STATUS	61510
316.150390625	n/a	161870	STATUS	61450
317.650390625	n/a	162638	STATUS	61468
318.017578125	n/a	162826	STATUS	61471
318.75	n/a	163201	STATUS	61472
319.025390625	n/a	163342	STATUS	61480
320.033203125	n/a	163858	STATUS	61490
321.333984375	n/a	164524	STATUS	61501
321.841796875	n/a	164784	STATUS	61511
322.091796875	n/a	164912	STATUS	61450
323.591796875	n/a	165680	STATUS	61463
323.958984375	n/a	165868	STATUS	61471
324.234375	n/a	166009	STATUS	61472
324.966796875	n/a	166384	STATUS	61480
325.9765625	n/a	166901	STATUS	61490
327.142578125	n/a	167498	STATUS	61500
327.75	n/a	167809	STATUS	61511
328	n/a	167937	STATUS	61450
329.5	n/a	168705	STATUS	61468
329.8671875	n/a	168893	STATUS	61471
330.6015625	n/a	169269	STATUS	61472
330.876953125	n/a	169410	STATUS	61480
331.884765625	n/a	169926	STATUS	61490
333.05859375	n/a	170527	STATUS	61500
333.634765625	n/a	170822	STATUS	61510
333.884765625	n/a	170950	STATUS	61450
335.384765625	n/a	171718	STATUS	61463
335.751953125	n/a	171906	STATUS	61471
336.02734375	n/a	172047	STATUS	61472
336.759765625	n/a	172422	STATUS	61480
337.767578125	n/a	172938	STATUS	61490
338.994140625	n/a	173566	STATUS	61501
339.619140625	n/a	173886	STATUS	61511
339.869140625	n/a	174014	STATUS	61450
341.369140625	n/a	174782	STATUS	61468
341.734375	n/a	174969	STATUS	61471
